

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:41:12 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443439.500000000, A.D. 1977-Oct-23 00:00:00.0000,  1.472129389596775E+08,  1.174747858203578E+08,  1.503773067373761E+07,
2443440.500000000, A.D. 1977-Oct-24 00:00:00.0000,  1.464679041338801E+08,  1.203101655671514E+08,  1.520684952927890E+07,
2443441.500000000, A.D. 1977-Oct-25 00:00:00.0000,  1.457018560499505E+08,  1.231281454903878E+08,  1.537377872333494E+07,
2443442.500000000, A.D. 1977-Oct-26 00:00:00.0000,  1.449153067120203E+08,  1.259286623964550E+08,  1.553853677482462E+07,
2443443.500000000, A.D. 1977-Oct-27 00:00:00.0000,  1.441087595000629E+08,  1.287116647624315E+08,  1.570114264888867E+07,
2443444.500000000, A.D. 1977-Oct-28 00:00:00.0000,  1.432827090419393E+08,  1.314771121715916E+08,  1.586161571078609E+07,
2443445.500000000, A.D. 1977-Oct-29 00:00:00.0000,  1.424376411121561E+08,  1.342249747641364E+08,  1.601997568206519E+07,
2443446.500000000, A.D. 1977-Oct-30 00:00:00.0000,  1.415740325554221E+08,  1.369552327036735E+08,  1.617624259902221E+07,
2443447.500000000, A.D. 1977-Oct-31 00:00:00.0000,  1.406923512332644E+08,  1.396678756597902E+08,  1.633043677325293E+07,
2443448.500000000, A.D. 1977-Nov-01 00:00:00.0000,  1.397930559918774E+08,  1.423629023070696E+08,  1.648257875443146E+07,
2443449.500000000, A.D. 1977-Nov-02 00:00:00.0000,  1.388765966496228E+08,  1.450403198406895E+08,  1.663268929510932E+07,
2443450.500000000, A.D. 1977-Nov-03 00:00:00.0000,  1.379434140025691E+08,  1.477001435087203E+08,  1.678078931752900E+07,
2443451.500000000, A.D. 1977-Nov-04 00:00:00.0000,  1.369939398465696E+08,  1.503423961611310E+08,  1.692689988237479E+07,
2443452.500000000, A.D. 1977-Nov-05 00:00:00.0000,  1.360285970144470E+08,  1.529671078154438E+08,  1.707104215939302E+07,
2443453.500000000, A.D. 1977-Nov-06 00:00:00.0000,  1.350477994269305E+08,  1.555743152389119E+08,  1.721323739981223E+07,
2443454.500000000, A.D. 1977-Nov-07 00:00:00.0000,  1.340519521560640E+08,  1.581640615470411E+08,  1.735350691049285E+07,
2443455.500000000, A.D. 1977-Nov-08 00:00:00.0000,  1.330414514998816E+08,  1.607363958182271E+08,  1.749187202973653E+07,
2443456.500000000, A.D. 1977-Nov-09 00:00:00.0000,  1.320166850672179E+08,  1.632913727242379E+08,  1.762835410468404E+07,
2443457.500000000, A.D. 1977-Nov-10 00:00:00.0000,  1.309780318715905E+08,  1.658290521762373E+08,  1.776297447023290E+07,
2443458.500000000, A.D. 1977-Nov-11 00:00:00.0000,  1.299258624331600E+08,  1.683494989860114E+08,  1.789575442940477E+07,
2443459.500000000, A.D. 1977-Nov-12 00:00:00.0000,  1.288605388878412E+08,  1.708527825420396E+08,  1.802671523509584E+07,
2443460.500000000, A.D. 1977-Nov-13 00:00:00.0000,  1.277824151026952E+08,  1.733389765000235E+08,  1.815587807314371E+07,
2443461.500000000, A.D. 1977-Nov-14 00:00:00.0000,  1.266918367967993E+08,  1.758081584874784E+08,  1.828326404664524E+07,
2443462.500000000, A.D. 1977-Nov-15 00:00:00.0000,  1.255891416668438E+08,  1.782604098219710E+08,  1.840889416146430E+07,
2443463.500000000, A.D. 1977-Nov-16 00:00:00.0000,  1.244746595167625E+08,  1.806958152425849E+08,  1.853278931286640E+07,
2443464.500000000, A.D. 1977-Nov-17 00:00:00.0000,  1.233487123907564E+08,  1.831144626541867E+08,  1.865497027322193E+07,
2443465.500000000, A.D. 1977-Nov-18 00:00:00.0000,  1.222116147091202E+08,  1.855164428840606E+08,  1.877545768072020E+07,
2443466.500000000, A.D. 1977-Nov-19 00:00:00.0000,  1.210636734063278E+08,  1.879018494504851E+08,  1.889427202903843E+07,
2443467.500000000, A.D. 1977-Nov-20 00:00:00.0000,  1.199051880708775E+08,  1.902707783428180E+08,  1.901143365791288E+07,
2443468.500000000, A.D. 1977-Nov-21 00:00:00.0000,  1.187364510864381E+08,  1.926233278126656E+08,  1.912696274455993E+07,
2443469.500000000, A.D. 1977-Nov-22 00:00:00.0000,  1.175577477738746E+08,  1.949595981757077E+08,  1.924087929589950E+07,
2443470.500000000, A.D. 1977-Nov-23 00:00:00.0000,  1.163693565337673E+08,  1.972796916237605E+08,  1.935320314153305E+07,
2443471.500000000, A.D. 1977-Nov-24 00:00:00.0000,  1.151715489890742E+08,  1.995837120466622E+08,  1.946395392743282E+07,
2443472.500000000, A.D. 1977-Nov-25 00:00:00.0000,  1.139645901279427E+08,  2.018717648631428E+08,  1.957315111026052E+07,
2443473.500000000, A.D. 1977-Nov-26 00:00:00.0000,  1.127487384445004E+08,  2.041439568629909E+08,  1.968081395249176E+07,
2443474.500000000, A.D. 1977-Nov-27 00:00:00.0000,  1.115242460821089E+08,  2.064003960533180E+08,  1.978696151775540E+07,
2443475.500000000, A.D. 1977-Nov-28 00:00:00.0000,  1.102913589724553E+08,  2.086411915176708E+08,  1.989161266710849E+07,
2443476.500000000, A.D. 1977-Nov-29 00:00:00.0000,  1.090503169751215E+08,  2.108664532807458E+08,  1.999478605562194E+07,
2443477.500000000, A.D. 1977-Nov-30 00:00:00.0000,  1.078013540154889E+08,  2.130762921811374E+08,  2.009650012948941E+07,
2443478.500000000, A.D. 1977-Dec-01 00:00:00.0000,  1.065446982211404E+08,  2.152708197513002E+08,  2.019677312358443E+07,
2443479.500000000, A.D. 1977-Dec-02 00:00:00.0000,  1.052805720566134E+08,  2.174501481043919E+08,  2.029562305943637E+07,
2443480.500000000, A.D. 1977-Dec-03 00:00:00.0000,  1.040091924563772E+08,  2.196143898276770E+08,  2.039306774359570E+07,
2443481.500000000, A.D. 1977-Dec-04 00:00:00.0000,  1.027307709559249E+08,  2.217636578821878E+08,  2.048912476636213E+07,
2443482.500000000, A.D. 1977-Dec-05 00:00:00.0000,  1.014455138208846E+08,  2.238980655083473E+08,  2.058381150084873E+07,
2443483.500000000, A.D. 1977-Dec-06 00:00:00.0000,  1.001536221740678E+08,  2.260177261372668E+08,  2.067714510235889E+07,
2443484.500000000, A.D. 1977-Dec-07 00:00:00.0000,  9.885529212038437E+07,  2.281227533074419E+08,  2.076914250805284E+07,
2443485.500000000, A.D. 1977-Dec-08 00:00:00.0000,  9.755071486956638E+07,  2.302132605865835E+08,  2.085982043688287E+07,
2443486.500000000, A.D. 1977-Dec-09 00:00:00.0000,  9.624007685665272E+07,  2.322893614983267E+08,  2.094919538977654E+07,
2443487.500000000, A.D. 1977-Dec-10 00:00:00.0000,  9.492355986019705E+07,  2.343511694535763E+08,  2.103728365004958E+07,
2443488.500000000, A.D. 1977-Dec-11 00:00:00.0000,  9.360134111817092E+07,  2.363987976862558E+08,  2.112410128402948E+07,
2443489.500000000, A.D. 1977-Dec-12 00:00:00.0000,  9.227359344154207E+07,  2.384323591932372E+08,  2.120966414187367E+07,
2443490.500000000, A.D. 1977-Dec-13 00:00:00.0000,  9.094048532551564E+07,  2.404519666782394E+08,  2.129398785856572E+07,
2443491.500000000, A.D. 1977-Dec-14 00:00:00.0000,  8.960218105843176E+07,  2.424577324994901E+08,  2.137708785507484E+07,
2443492.500000000, A.D. 1977-Dec-15 00:00:00.0000,  8.825884082831950E+07,  2.444497686209562E+08,  2.145897933966464E+07,
2443493.500000000, A.D. 1977-Dec-16 00:00:00.0000,  8.691062082711062E+07,  2.464281865669555E+08,  2.153967730933836E+07,
2443494.500000000, A.D. 1977-Dec-17 00:00:00.0000,  8.555767335252300E+07,  2.483930973799717E+08,  2.161919655140805E+07,
2443495.500000000, A.D. 1977-Dec-18 00:00:00.0000,  8.420014690762617E+07,  2.503446115815006E+08,  2.169755164517640E+07,
2443496.500000000, A.D. 1977-Dec-19 00:00:00.0000,  8.283818629810712E+07,  2.522828391357673E+08,  2.177475696372057E+07,
2443497.500000000, A.D. 1977-Dec-20 00:00:00.0000,  8.147193272725864E+07,  2.542078894161600E+08,  2.185082667576784E+07,
2443498.500000000, A.D. 1977-Dec-21 00:00:00.0000,  8.010152388871594E+07,  2.561198711742328E+08,  2.192577474765305E+07,
2443499.500000000, A.D. 1977-Dec-22 00:00:00.0000,  7.872709405697009E+07,  2.580188925111425E+08,  2.199961494534856E+07,
2443500.500000000, A.D. 1977-Dec-23 00:00:00.0000,  7.734877417568061E+07,  2.599050608513893E+08,  2.207236083656368E+07,
2443501.500000000, A.D. 1977-Dec-24 00:00:00.0000,  7.596669194383053E+07,  2.617784829187217E+08,  2.214402579289329E+07,
2443502.500000000, A.D. 1977-Dec-25 00:00:00.0000,  7.458097189973842E+07,  2.636392647140883E+08,  2.221462299202611E+07,
2443503.500000000, A.D. 1977-Dec-26 00:00:00.0000,  7.319173550297070E+07,  2.654875114955152E+08,  2.228416541999307E+07,
2443504.500000000, A.D. 1977-Dec-27 00:00:00.0000,  7.179910121419644E+07,  2.673233277598149E+08,  2.235266587345424E+07,
2443505.500000000, A.D. 1977-Dec-28 00:00:00.0000,  7.040318457303281E+07,  2.691468172260544E+08,  2.242013696201661E+07,
2443506.500000000, A.D. 1977-Dec-29 00:00:00.0000,  6.900409827388613E+07,  2.709580828206116E+08,  2.248659111057946E+07,
2443507.500000000, A.D. 1977-Dec-30 00:00:00.0000,  6.760195223984948E+07,  2.727572266637689E+08,  2.255204056170107E+07,
2443508.500000000, A.D. 1977-Dec-31 00:00:00.0000,  6.619685369468506E+07,  2.745443500577403E+08,  2.261649737798472E+07,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000,  6.478890723294644E+07,  2.763195534760734E+08,  2.267997344447543E+07,
2443510.500000000, A.D. 1978-Jan-02 00:00:00.0000,  6.337821488828281E+07,  2.780829365543324E+08,  2.274248047106531E+07,
2443511.500000000, A.D. 1978-Jan-03 00:00:00.0000,  6.196487619989102E+07,  2.798345980819804E+08,  2.280402999490613E+07,
