

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 06:53:56 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 1 (position only)
Reference frame : Ecliptic of B1950.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,
**************************************************************************************************************************
$$SOE
2443463.500000000, A.D. 1977-Nov-16 00:00:00.0000,  1.266685726628848E+08,  1.791669381078041E+08,  1.851117976610883E+07,
2443464.500000000, A.D. 1977-Nov-17 00:00:00.0000,  1.255721976859365E+08,  1.815991467053522E+08,  1.863309640655342E+07,
2443465.500000000, A.D. 1977-Nov-18 00:00:00.0000,  1.244644697648160E+08,  1.840148251113231E+08,  1.875332148442752E+07,
2443466.500000000, A.D. 1977-Nov-19 00:00:00.0000,  1.233456969515355E+08,  1.864140630973403E+08,  1.887187548005924E+07,
2443467.500000000, A.D. 1977-Nov-20 00:00:00.0000,  1.222161799828024E+08,  1.887969529954655E+08,  1.898877871962101E+07,
2443468.500000000, A.D. 1977-Nov-21 00:00:00.0000,  1.210762124186086E+08,  1.911635894876605E+08,  1.910405136657304E+07,
2443469.500000000, A.D. 1977-Nov-22 00:00:00.0000,  1.199260807818302E+08,  1.935140694058950E+08,  1.921771341390800E+07,
2443470.500000000, A.D. 1977-Nov-23 00:00:00.0000,  1.187660646984438E+08,  1.958484915424846E+08,  1.932978467714907E+07,
2443471.500000000, A.D. 1977-Nov-24 00:00:00.0000,  1.175964370380073E+08,  1.981669564702504E+08,  1.944028478805810E+07,
2443472.500000000, A.D. 1977-Nov-25 00:00:00.0000,  1.164174640543988E+08,  2.004695663716592E+08,  1.954923318897220E+07,
2443473.500000000, A.D. 1977-Nov-26 00:00:00.0000,  1.152294055246725E+08,  2.027564248792848E+08,  1.965664912794483E+07,
2443474.500000000, A.D. 1977-Nov-27 00:00:00.0000,  1.140325148904281E+08,  2.050276369203374E+08,  1.976255165410127E+07,
2443475.500000000, A.D. 1977-Nov-28 00:00:00.0000,  1.128270393951735E+08,  2.072833085740893E+08,  1.986695961392838E+07,
2443476.500000000, A.D. 1977-Nov-29 00:00:00.0000,  1.116132202222346E+08,  2.095235469348986E+08,  1.996989164787433E+07,
2443477.500000000, A.D. 1977-Nov-30 00:00:00.0000,  1.103912926310986E+08,  2.117484599832839E+08,  2.007136618747064E+07,
2443478.500000000, A.D. 1977-Dec-01 00:00:00.0000,  1.091614860923423E+08,  2.139581564642336E+08,  2.017140145290187E+07,
2443479.500000000, A.D. 1977-Dec-02 00:00:00.0000,  1.079240244209950E+08,  2.161527457724132E+08,  2.027001545099293E+07,
2443480.500000000, A.D. 1977-Dec-03 00:00:00.0000,  1.066791259082072E+08,  2.183323378439558E+08,  2.036722597358561E+07,
2443481.500000000, A.D. 1977-Dec-04 00:00:00.0000,  1.054270034511089E+08,  2.204970430545326E+08,  2.046305059627657E+07,
2443482.500000000, A.D. 1977-Dec-05 00:00:00.0000,  1.041678646807607E+08,  2.226469721234079E+08,  2.055750667749129E+07,
2443483.500000000, A.D. 1977-Dec-06 00:00:00.0000,  1.029019120881114E+08,  2.247822360231948E+08,  2.065061135786988E+07,
2443484.500000000, A.D. 1977-Dec-07 00:00:00.0000,  1.016293431478880E+08,  2.269029458950344E+08,  2.074238155994178E+07,
2443485.500000000, A.D. 1977-Dec-08 00:00:00.0000,  1.003503504403577E+08,  2.290092129689362E+08,  2.083283398806901E+07,
2443486.500000000, A.D. 1977-Dec-09 00:00:00.0000,  9.906512177090934E+07,  2.311011484890237E+08,  2.092198512863640E+07,
2443487.500000000, A.D. 1977-Dec-10 00:00:00.0000,  9.777384028741634E+07,  2.331788636434439E+08,  2.100985125047135E+07,
2443488.500000000, A.D. 1977-Dec-11 00:00:00.0000,  9.647668459534740E+07,  2.352424694987078E+08,  2.109644840547369E+07,
2443489.500000000, A.D. 1977-Dec-12 00:00:00.0000,  9.517382887060422E+07,  2.372920769382409E+08,  2.118179242943950E+07,
2443490.500000000, A.D. 1977-Dec-13 00:00:00.0000,  9.386544297007036E+07,  2.393277966049288E+08,  2.126589894306281E+07,
2443491.500000000, A.D. 1977-Dec-14 00:00:00.0000,  9.255169253986275E+07,  2.413497388474555E+08,  2.134878335310014E+07,
2443492.500000000, A.D. 1977-Dec-15 00:00:00.0000,  9.123273912128316E+07,  2.433580136702393E+08,  2.143046085368365E+07,
2443493.500000000, A.D. 1977-Dec-16 00:00:00.0000,  8.990874025447077E+07,  2.453527306867770E+08,  2.151094642777070E+07,
2443494.500000000, A.D. 1977-Dec-17 00:00:00.0000,  8.857984957976389E+07,  2.473339990762196E+08,  2.159025484871687E+07,
2443495.500000000, A.D. 1977-Dec-18 00:00:00.0000,  8.724621693678060E+07,  2.493019275430086E+08,  2.166840068196140E+07,
2443496.500000000, A.D. 1977-Dec-19 00:00:00.0000,  8.590798846123509E+07,  2.512566242794099E+08,  2.174539828681423E+07,
2443497.500000000, A.D. 1977-Dec-20 00:00:00.0000,  8.456530667950977E+07,  2.531981969307921E+08,  2.182126181833456E+07,
2443498.500000000, A.D. 1977-Dec-21 00:00:00.0000,  8.321831060100701E+07,  2.551267525635015E+08,  2.189600522929110E+07,
2443499.500000000, A.D. 1977-Dec-22 00:00:00.0000,  8.186713580830775E+07,  2.570423976351975E+08,  2.196964227219425E+07,
2443500.500000000, A.D. 1977-Dec-23 00:00:00.0000,  8.051191454515725E+07,  2.589452379675193E+08,  2.204218650139803E+07,
2443501.500000000, A.D. 1977-Dec-24 00:00:00.0000,  7.915277580232021E+07,  2.608353787209413E+08,  2.211365127525041E+07,
2443502.500000000, A.D. 1977-Dec-25 00:00:00.0000,  7.778984540131763E+07,  2.627129243717042E+08,  2.218404975830339E+07,
2443503.500000000, A.D. 1977-Dec-26 00:00:00.0000,  7.642324607608783E+07,  2.645779786906942E+08,  2.225339492356296E+07,
2443504.500000000, A.D. 1977-Dec-27 00:00:00.0000,  7.505309755261222E+07,  2.664306447241804E+08,  2.232169955477744E+07,
2443505.500000000, A.D. 1977-Dec-28 00:00:00.0000,  7.367951662655352E+07,  2.682710247763357E+08,  2.238897624875627E+07,
2443506.500000000, A.D. 1977-Dec-29 00:00:00.0000,  7.230261723890905E+07,  2.700992203933690E+08,  2.245523741771659E+07,
2443507.500000000, A.D. 1977-Dec-30 00:00:00.0000,  7.092251054973929E+07,  2.719153323492204E+08,  2.252049529165071E+07,
2443508.500000000, A.D. 1977-Dec-31 00:00:00.0000,  6.953930500999910E+07,  2.737194606327106E+08,  2.258476192071275E+07,
2443509.500000000, A.D. 1978-Jan-01 00:00:00.0000,  6.815310643152544E+07,  2.755117044360901E+08,  2.264804917761627E+07,
2443510.500000000, A.D. 1978-Jan-02 00:00:00.0000,  6.676401805522313E+07,  2.772921621448898E+08,  2.271036876003958E+07,
2443511.500000000, A.D. 1978-Jan-03 00:00:00.0000,  6.537214061741284E+07,  2.790609313289943E+08,  2.277173219303906E+07,
2443512.500000000, A.D. 1978-Jan-04 00:00:00.0000,  6.397757241455922E+07,  2.808181087348552E+08,  2.283215083146159E+07,
2443513.500000000, A.D. 1978-Jan-05 00:00:00.0000,  6.258040936617983E+07,  2.825637902787956E+08,  2.289163586235903E+07,
2443514.500000000, A.D. 1978-Jan-06 00:00:00.0000,  6.118074507615772E+07,  2.842980710413306E+08,  2.295019830739689E+07,
2443515.500000000, A.D. 1978-Jan-07 00:00:00.0000,  5.977867089242168E+07,  2.860210452624485E+08,  2.300784902525640E+07,
2443516.500000000, A.D. 1978-Jan-08 00:00:00.0000,  5.837427596504475E+07,  2.877328063377906E+08,  2.306459871402723E+07,
2443517.500000000, A.D. 1978-Jan-09 00:00:00.0000,  5.696764730279729E+07,  2.894334468156739E+08,  2.312045791358957E+07,
2443518.500000000, A.D. 1978-Jan-10 00:00:00.0000,  5.555886982819198E+07,  2.911230583949038E+08,  2.317543700798269E+07,
2443519.500000000, A.D. 1978-Jan-11 00:00:00.0000,  5.414802643105744E+07,  2.928017319233245E+08,  2.322954622775917E+07,
2443520.500000000, A.D. 1978-Jan-12 00:00:00.0000,  5.273519802067730E+07,  2.944695573970632E+08,  2.328279565232196E+07,
2443521.500000000, A.D. 1978-Jan-13 00:00:00.0000,  5.132046357653170E+07,  2.961266239604243E+08,  2.333519521224393E+07,
2443522.500000000, A.D. 1978-Jan-14 00:00:00.0000,  4.990390019767666E+07,  2.977730199063899E+08,  2.338675469156723E+07,
2443523.500000000, A.D. 1978-Jan-15 00:00:00.0000,  4.848558315080611E+07,  2.994088326776912E+08,  2.343748373008390E+07,
2443524.500000000, A.D. 1978-Jan-16 00:00:00.0000,  4.706558591696928E+07,  3.010341488683994E+08,  2.348739182558593E+07,
2443525.500000000, A.D. 1978-Jan-17 00:00:00.0000,  4.564398023713601E+07,  3.026490542260334E+08,  2.353648833610909E+07,
2443526.500000000, A.D. 1978-Jan-18 00:00:00.0000,  4.422083615642439E+07,  3.042536336541018E+08,  2.358478248213667E+07,
2443527.500000000, A.D. 1978-Jan-19 00:00:00.0000,  4.279622206718934E+07,  3.058479712150854E+08,  2.363228334878707E+07,
2443528.500000000, A.D. 1978-Jan-20 00:00:00.0000,  4.137020475093645E+07,  3.074321501338111E+08,  2.367899988797513E+07,
2443529.500000000, A.D. 1978-Jan-21 00:00:00.0000,  3.994284941910368E+07,  3.090062528011972E+08,  2.372494092054702E+07,
2443530.500000000, A.D. 1978-Jan-22 00:00:00.0000,  3.851421975274274E+07,  3.105703607783400E+08,  2.377011513838945E+07,
2443531.500000000, A.D. 1978-Jan-23 00:00:00.0000,  3.708437794113000E+07,  3.121245548009204E+08,  2.381453110651140E+07,
2443532.500000000, A.D. 1978-Jan-24 00:00:00.0000,  3.565338471933635E+07,  3.136689147839051E+08,  2.385819726509883E+07,
