

*******************************************************************************
Ephemeris / WWW_USER Thu Feb 10 02:41:50 2022 Pasadena, USA      / Horizons
*******************************************************************************
Target body name: Voyager 2 (spacecraft) (-32)    {source: Voyager_2}
Center body name: Solar System Barycenter (0)     {source: DE441}
Center-site name: BODY CENTER
*******************************************************************************
Start time      : A.D. 1977-Aug-21 00:00:00.0000 TDB
Stop  time      : A.D. 1997-Aug-22 00:00:00.0000 TDB
Step-size       : 1440 minutes
*******************************************************************************
Center geodetic : 0.00000000,0.00000000,0.0000000 {E-lon(deg),Lat(deg),Alt(km)}
Center cylindric: 0.00000000,0.00000000,0.0000000 {E-lon(deg),Dxy(km),Dz(km)}
Center radii    : (undefined)                                                  
Output units    : KM-S
Output type     : GEOMETRIC cartesian states
Output format   : 2 (position and velocity)
Reference frame : Ecliptic of J2000.0
*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
**************************************************************************************************************************************************************************************************
$$SOE
2443386.500000000, A.D. 1977-Aug-31 00:00:00.0000,  1.422458057669167E+08, -4.940514219328067E+07,  2.895164855637671E+06,  1.303616578430373E+01,  3.666399831061727E+01,  3.205678380224787E+00,
2443387.500000000, A.D. 1977-Sep-01 00:00:00.0000,  1.433512799094675E+08, -4.623039968908512E+07,  3.171690774456942E+06,  1.255298232689266E+01,  3.682359809203155E+01,  3.195233954785477E+00,
2443388.500000000, A.D. 1977-Sep-02 00:00:00.0000,  1.444148758679958E+08, -4.304233971255638E+07,  3.447275355101455E+06,  1.206683917800041E+01,  3.697225200986382E+01,  3.183889381703043E+00,
2443389.500000000, A.D. 1977-Sep-03 00:00:00.0000,  1.454363576513096E+08, -3.984191303845167E+07,  3.721841197183037E+06,  1.157819379281588E+01,  3.710984795912012E+01,  3.171653855954593E+00,
2443390.500000000, A.D. 1977-Sep-04 00:00:00.0000,  1.464155289761869E+08, -3.663007889237434E+07,  3.995311834930124E+06,  1.108750753040724E+01,  3.723630220775811E+01,  3.158539722318062E+00,
2443391.500000000, A.D. 1977-Sep-05 00:00:00.0000,  1.473522335166329E+08, -3.340780254866706E+07,  4.267611987731449E+06,  1.059524361641359E+01,  3.735155832101186E+01,  3.144562002912629E+00,
2443392.500000000, A.D. 1977-Sep-06 00:00:00.0000,  1.482463549715706E+08, -3.017605300800386E+07,  4.538667775153650E+06,  1.010186499612171E+01,  3.745558635262391E+01,  3.129738036828444E+00,
2443393.500000000, A.D. 1977-Sep-07 00:00:00.0000,  1.490978169605352E+08, -2.693580073974169E+07,  4.808406905553499E+06,  9.607832515821734E+00,  3.754838213709030E+01,  3.114087224489055E+00,
2443394.500000000, A.D. 1977-Sep-08 00:00:00.0000,  1.499065827649502E+08, -2.368801548427116E+07,  5.076758844693724E+06,  9.113603134575341E+00,  3.762996659627702E+01,  3.097630812773875E+00,
2443395.500000000, A.D. 1977-Sep-09 00:00:00.0000,  1.506726549172890E+08, -2.043366411670799E+07,  5.343654966956019E+06,  8.619628202488650E+00,  3.770038500755793E+01,  3.080391705918260E+00,
2443396.500000000, A.D. 1977-Sep-10 00:00:00.0000,  1.513960746451824E+08, -1.717370857645125E+07,  5.609028690997751E+06,  8.126351825832881E+00,  3.775970620705102E+01,  3.062394293187165E+00,
